Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2026-01-07,INV-2024-0001,Global Traders Inc,finance@globaltraders.com,2026-02-06,6471.2744497522,647.12744497522,7118.40189472742,Paid,AUD
Invoice,2025-11-14,INV-2024-0002,ABC Technologies,accounts@abctech.com,2025-12-14,9464.81785106291,946.481785106291,10411.2996361692,Paid,AUD
Invoice,2025-11-13,INV-2024-0003,Global Traders Inc,finance@globaltraders.com,2025-12-13,7935.141615417394,793.5141615417394,8728.655776959133,Paid,AUD
Invoice,2025-12-20,INV-2024-0004,XYZ Solutions,billing@xyzsolutions.com,2026-01-19,7669.631175326307,766.9631175326307,8436.594292858937,Paid,AUD
Invoice,2025-11-25,INV-2024-0005,ABC Technologies,accounts@abctech.com,2025-12-25,8455.00610450179,845.500610450179,9300.50671495197,Paid,AUD
Invoice,2025-12-21,INV-2024-0006,Global Traders Inc,finance@globaltraders.com,2026-01-20,5102.2303113686585,510.22303113686587,5612.453342505524,Paid,AUD
Invoice,2026-01-06,INV-2024-0007,ABC Technologies,accounts@abctech.com,2026-02-05,5226.161531376637,522.6161531376637,5748.777684514301,Partial,AUD
Invoice,2025-11-03,INV-2024-0008,XYZ Solutions,billing@xyzsolutions.com,2025-12-03,3101.896910251609,310.1896910251609,3412.08660127677,Partial,AUD
Invoice,2025-11-23,INV-2024-0009,XYZ Solutions,billing@xyzsolutions.com,2025-12-23,1382.3122726499028,138.23122726499028,1520.5434999148931,Paid,AUD
Invoice,2025-12-13,INV-2024-0010,XYZ Solutions,billing@xyzsolutions.com,2026-01-12,2638.608367078049,263.8608367078049,2902.469203785854,Unpaid,AUD
