Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-12-16,INV-2024-0001,Global Traders Inc,finance@globaltraders.com,2026-01-15,3990.92184482597,399.092184482597,4390.014029308567,Paid,AUD
Invoice,2025-11-07,INV-2024-0002,XYZ Solutions,billing@xyzsolutions.com,2025-12-07,2990.8844135210948,299.0884413521095,3289.972854873204,Unpaid,AUD
Invoice,2025-11-04,INV-2024-0003,ABC Technologies,accounts@abctech.com,2025-12-04,5237.974773030168,523.7974773030168,5761.772250333185,Paid,AUD
Invoice,2025-11-26,INV-2024-0004,Global Traders Inc,finance@globaltraders.com,2025-12-26,9631.327863241175,963.1327863241175,10594.460649565293,Unpaid,AUD
Invoice,2025-12-24,INV-2024-0005,XYZ Solutions,billing@xyzsolutions.com,2026-01-23,5104.277979764731,510.4277979764731,5614.705777741204,Partial,AUD
Invoice,2025-12-16,INV-2024-0006,ABC Technologies,accounts@abctech.com,2026-01-15,3370.9378860092015,337.09378860092016,3708.0316746101216,Paid,AUD
Invoice,2025-12-01,INV-2024-0007,Global Traders Inc,finance@globaltraders.com,2025-12-31,3243.7256882328265,324.3725688232827,3568.098257056109,Partial,AUD
Invoice,2025-10-29,INV-2024-0008,Global Traders Inc,finance@globaltraders.com,2025-11-28,2153.959630602323,215.3959630602323,2369.3555936625553,Partial,AUD
Invoice,2025-11-17,INV-2024-0009,ABC Technologies,accounts@abctech.com,2025-12-17,6246.309986170441,624.6309986170442,6870.940984787485,Partial,AUD
Invoice,2026-01-12,INV-2024-0010,XYZ Solutions,billing@xyzsolutions.com,2026-02-11,4264.619865774943,426.4619865774943,4691.081852352438,Unpaid,AUD
