Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-12-25,INV-2024-0001,XYZ Solutions,billing@xyzsolutions.com,2026-01-24,9269.680148726646,926.9680148726646,10196.648163599311,Partial,AUD
Invoice,2025-12-07,INV-2024-0002,Global Traders Inc,finance@globaltraders.com,2026-01-06,1462.2607528142378,146.2260752814238,1608.4868280956616,Partial,AUD
Invoice,2025-11-15,INV-2024-0003,ABC Technologies,accounts@abctech.com,2025-12-15,2299.972249913905,229.9972249913905,2529.9694749052956,Unpaid,AUD
Invoice,2025-11-19,INV-2024-0004,ABC Technologies,accounts@abctech.com,2025-12-19,1415.929394548544,141.5929394548544,1557.5223340033983,Unpaid,AUD
Invoice,2025-11-09,INV-2024-0005,ABC Technologies,accounts@abctech.com,2025-12-09,5611.377566208039,561.1377566208039,6172.515322828843,Unpaid,AUD
Invoice,2025-12-04,INV-2024-0006,ABC Technologies,accounts@abctech.com,2026-01-03,5053.375734678593,505.3375734678593,5558.713308146453,Unpaid,AUD
Invoice,2025-11-01,INV-2024-0007,ABC Technologies,accounts@abctech.com,2025-12-01,3148.188480858189,314.8188480858189,3463.007328944008,Partial,AUD
Invoice,2026-01-18,INV-2024-0008,Global Traders Inc,finance@globaltraders.com,2026-02-17,9500.800604885768,950.0800604885768,10450.880665374345,Partial,AUD
Invoice,2025-12-02,INV-2024-0009,XYZ Solutions,billing@xyzsolutions.com,2026-01-01,6087.664830951897,608.7664830951898,6696.431314047087,Partial,AUD
Invoice,2025-11-06,INV-2024-0010,XYZ Solutions,billing@xyzsolutions.com,2025-12-06,9047.268195301773,904.7268195301773,9951.99501483195,Unpaid,AUD
