Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-10-20,INV-2024-0001,ABC Technologies,accounts@abctech.com,2025-11-19,6941.217487137358,694.1217487137358,7635.339235851094,Paid,AUD
Invoice,2025-10-26,INV-2024-0002,Global Traders Inc,finance@globaltraders.com,2025-11-25,7049.903807425818,704.9903807425818,7754.8941881683995,Unpaid,AUD
Invoice,2025-12-17,INV-2024-0003,ABC Technologies,accounts@abctech.com,2026-01-16,3105.2709459024663,310.52709459024663,3415.798040492713,Paid,AUD
Invoice,2025-12-17,INV-2024-0004,XYZ Solutions,billing@xyzsolutions.com,2026-01-16,6172.114311715641,617.2114311715641,6789.325742887205,Unpaid,AUD
Invoice,2025-11-08,INV-2024-0005,Global Traders Inc,finance@globaltraders.com,2025-12-08,3594.8312703380766,359.48312703380765,3954.3143973718843,Paid,AUD
Invoice,2025-11-16,INV-2024-0006,Global Traders Inc,finance@globaltraders.com,2025-12-16,7527.839909823065,752.7839909823065,8280.62390080537,Unpaid,AUD
Invoice,2025-12-12,INV-2024-0007,XYZ Solutions,billing@xyzsolutions.com,2026-01-11,2584.869277733599,258.4869277733599,2843.3562055069588,Unpaid,AUD
Invoice,2025-12-24,INV-2024-0008,Global Traders Inc,finance@globaltraders.com,2026-01-23,7174.335984587227,717.4335984587227,7891.76958304595,Partial,AUD
Invoice,2026-01-03,INV-2024-0009,ABC Technologies,accounts@abctech.com,2026-02-02,1128.521480726561,112.8521480726561,1241.3736287992172,Partial,AUD
Invoice,2025-12-21,INV-2024-0010,Global Traders Inc,finance@globaltraders.com,2026-01-20,2947.836345273097,294.7836345273097,3242.619979800407,Paid,AUD
