Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-12-25,INV-2024-0001,Global Traders Inc,finance@globaltraders.com,2026-01-24,6720.669447317248,672.0669447317248,7392.736392048972,Partial,AUD
Invoice,2025-12-18,INV-2024-0002,XYZ Solutions,billing@xyzsolutions.com,2026-01-17,1889.3560377042954,188.93560377042954,2078.291641474725,Paid,AUD
Invoice,2025-12-09,INV-2024-0003,Global Traders Inc,finance@globaltraders.com,2026-01-08,3566.3005753697967,356.6300575369797,3922.9306329067763,Paid,AUD
Invoice,2025-12-15,INV-2024-0004,ABC Technologies,accounts@abctech.com,2026-01-14,7020.594338353221,702.0594338353221,7722.653772188543,Partial,AUD
Invoice,2025-11-17,INV-2024-0005,Global Traders Inc,finance@globaltraders.com,2025-12-17,4550.957653948957,455.0957653948957,5006.0534193438525,Partial,AUD
Invoice,2025-12-16,INV-2024-0006,ABC Technologies,accounts@abctech.com,2026-01-15,8516.914881132423,851.6914881132423,9368.606369245665,Paid,AUD
Invoice,2025-10-28,INV-2024-0007,ABC Technologies,accounts@abctech.com,2025-11-27,8143.191658990912,814.3191658990912,8957.510824890003,Partial,AUD
Invoice,2026-01-07,INV-2024-0008,Global Traders Inc,finance@globaltraders.com,2026-02-06,8830.427454991788,883.0427454991787,9713.470200490967,Unpaid,AUD
Invoice,2025-12-12,INV-2024-0009,Global Traders Inc,finance@globaltraders.com,2026-01-11,7945.0718869713855,794.5071886971385,8739.579075668524,Partial,AUD
Invoice,2025-11-30,INV-2024-0010,ABC Technologies,accounts@abctech.com,2025-12-30,1119.7855435445558,111.97855435445558,1231.7640978990114,Unpaid,AUD
