_DataType,UID,DepositTo,Account.UID,Account.Name,Account.DisplayID,Account.URI,Customer.UID,Customer.Name,Customer.DisplayID,Customer.URI,ReceiptNumber,Date,AmountReceived,AmountReceivedForeign,PaymentMethod,Memo,Invoices,TransactionUID,ForeignCurrency,CurrencyExchangeRate,URI,RowVersion
invoice_payments,c01af8f0-d1a2-4a3c-a959-a7c1dc6f2307,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,a85e0c70-d369-4928-9db4-b1fb34586a89,Advance Boiler Services,CUS001004,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/a85e0c70-d369-4928-9db4-b1fb34586a89,CR000168,2024-07-31T00:00:00,57.5,,,Payment; ADV BOILERS ADVBOI 1054 FROM ADVANCE BOILER,"[{'RowID': 2866, 'Number': '1270', 'UID': '890d531d-11cd-4124-85a0-e375762848f8', 'AmountApplied': 57.5, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/890d531d-11cd-4124-85a0-e375762848f8'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/c01af8f0-d1a2-4a3c-a959-a7c1dc6f2307,576466249861562368
invoice_payments,e68c4df5-2af5-4ce6-a629-94c14e861f59,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,e3c931c7-03b8-42b7-9e86-deaac89160be,Excel Refrigeration,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/e3c931c7-03b8-42b7-9e86-deaac89160be,CR000198,2024-09-24T00:00:00,97.75,,,Payment; EXCEL WAIKAT EXCEL FROM EXCEL REFRIGERATION,"[{'RowID': 3337, 'Number': '1327', 'UID': '52089acf-fb84-409f-8f0b-2ff67e71fec3', 'AmountApplied': 97.75, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/52089acf-fb84-409f-8f0b-2ff67e71fec3'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/e68c4df5-2af5-4ce6-a629-94c14e861f59,3534486780113846272
invoice_payments,0a475a12-9591-4b62-84e8-0025366f8273,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,eb0f37bb-4866-497b-a8c2-216364339ac5,Hi-Tech Engineering,CUS001061,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/eb0f37bb-4866-497b-a8c2-216364339ac5,CR000195,2024-09-20T00:00:00,146.63,,,Payment; HI-TECH ENG FROM HI-TECH ENGINEER,"[{'RowID': 3303, 'Number': '1326', 'UID': '8c239550-d61e-4551-8270-22c3adc395ef', 'AmountApplied': 146.63, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/8c239550-d61e-4551-8270-22c3adc395ef'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/0a475a12-9591-4b62-84e8-0025366f8273,7207735226187907072
invoice_payments,ec49ca6e-9d8c-4bcf-9234-e143d9582b23,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,7d9ab5ec-8248-404d-83e9-af2ab0be2cc2,cash sales,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/7d9ab5ec-8248-404d-83e9-af2ab0be2cc2,CR000065,2023-10-20T00:00:00,163.3,,,Payment; SHANNON REF INV 1109 FROM SHANNON REFRIGER,"[{'RowID': 1062, 'Number': '1109', 'UID': '1daedb1d-95d8-44ce-becf-03d47df1a278', 'AmountApplied': 163.3, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/1daedb1d-95d8-44ce-becf-03d47df1a278'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/ec49ca6e-9d8c-4bcf-9234-e143d9582b23,-5548711817850650624
invoice_payments,074ee6df-eb0c-4dc1-af81-d09ccc70687b,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,24f829a2-5b9d-466b-8aa4-006f69b53fb8,DFI Engineering,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/24f829a2-5b9d-466b-8aa4-006f69b53fb8,CR000119,2024-03-06T00:00:00,184.0,,,Payment; DFI ENG FROM DFI ENGINEERING LIMI,"[{'RowID': 1817, 'Number': '1168', 'UID': '1887ccae-f3db-4101-897d-206c36520dbe', 'AmountApplied': 184.0, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/1887ccae-f3db-4101-897d-206c36520dbe'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/074ee6df-eb0c-4dc1-af81-d09ccc70687b,-1945832115954253824
invoice_payments,a7d4bc78-a1d4-44b0-9ce0-e22643beaaf6,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,7d9ab5ec-8248-404d-83e9-af2ab0be2cc2,cash sales,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/7d9ab5ec-8248-404d-83e9-af2ab0be2cc2,CR000004,2023-06-30T00:00:00,197.23,,,Payment; ECOCHILL FROM ECOCHILL LIMITED,"[{'RowID': 292, 'Number': '1026', 'UID': '96375e0f-8b6a-474b-a542-277d35cd22e9', 'AmountApplied': 197.23, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/96375e0f-8b6a-474b-a542-277d35cd22e9'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/a7d4bc78-a1d4-44b0-9ce0-e22643beaaf6,-8431015579367768064
invoice_payments,ccae46ce-ee50-48b5-b775-ed8b3c382b62,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,117061f9-4302-4a75-b225-e769e9d4e608,Chris McMaster,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/117061f9-4302-4a75-b225-e769e9d4e608,CR000414,2026-02-11T00:00:00,201.25,,,Payment; C McMaster 1722 FROM MCMASTER C J,"[{'RowID': 8615, 'Number': '1722', 'UID': 'c91b4430-23ef-468f-81e4-1e1c13c51e0c', 'AmountApplied': 201.25, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/c91b4430-23ef-468f-81e4-1e1c13c51e0c'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/ccae46ce-ee50-48b5-b775-ed8b3c382b62,7548325445565939712
invoice_payments,ce3e7d87-bf7e-4286-9633-dd5adf218f47,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,117061f9-4302-4a75-b225-e769e9d4e608,Chris McMaster,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/117061f9-4302-4a75-b225-e769e9d4e608,CR000373,2025-11-27T00:00:00,210.45,,,Payment; C McMaster Insulation 1685 FROM MCMASTER C J,"[{'RowID': 7644, 'Number': '1685', 'UID': '4c78e5e0-e362-49dc-a054-b7a1f0478866', 'AmountApplied': 210.45, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/4c78e5e0-e362-49dc-a054-b7a1f0478866'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/ce3e7d87-bf7e-4286-9633-dd5adf218f47,-2170162174834507776
invoice_payments,d7464fc2-2c74-4c5f-83ad-52e3b5db4a34,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,81dab9e4-96f4-46b6-a752-47b27150ad27,Eastside Refrigeration Ltd,CUS001042,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/81dab9e4-96f4-46b6-a752-47b27150ad27,CR000351,2025-10-31T00:00:00,218.5,,,Payment; Eastside Ref ER433001 Eastside/Cen FROM Eastside Refrigerati,"[{'RowID': 7305, 'Number': '1608', 'UID': '3b00e2c8-6d4d-4678-8a01-7fe356e2a260', 'AmountApplied': 218.5, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/3b00e2c8-6d4d-4678-8a01-7fe356e2a260'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/d7464fc2-2c74-4c5f-83ad-52e3b5db4a34,-179571139536748544
invoice_payments,87944495-7edb-4c2c-8d19-0627b866cd2e,Account,6c046709-a71e-44f5-b3f2-7229c2e21f54,ANZ Bank - 00 Account,600,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/GeneralLedger/Account/6c046709-a71e-44f5-b3f2-7229c2e21f54,7215eac5-b8d8-4795-b3e7-9a641d1a2ce8,Cushman Wakefield,*None,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Contact/Customer/7215eac5-b8d8-4795-b3e7-9a641d1a2ce8,CR000374,2025-11-28T00:00:00,250.7,,,Payment; 3249354 FROM CUSHMAN & WAKEFI,"[{'RowID': 7669, 'Number': '1662', 'UID': 'c7a0ece1-2958-4bd2-8461-c22c9622fdf1', 'AmountApplied': 250.7, 'AmountAppliedForeign': None, 'GainOrLoss': None, 'Type': 'Invoice', 'Uri': 'https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/Invoice/Service/c7a0ece1-2958-4bd2-8461-c22c9622fdf1'}]",,,,https://arl2.api.myob.com/accountright/acbfc2d1-a9db-4df5-8e0d-e2f75a6a47a7/Sale/CustomerPayment/87944495-7edb-4c2c-8d19-0627b866cd2e,2010304179272155136
