Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2025-12-05,INV-2024-0001,XYZ Solutions,billing@xyzsolutions.com,2026-01-04,5179.7261174263,517.97261174263,5697.69872916893,Unpaid,AUD
Invoice,2025-12-09,INV-2024-0002,XYZ Solutions,billing@xyzsolutions.com,2026-01-08,9176.824634871013,917.6824634871012,10094.507098358114,Partial,AUD
Invoice,2025-12-23,INV-2024-0003,Global Traders Inc,finance@globaltraders.com,2026-01-22,3087.5188064883023,308.75188064883025,3396.2706871371324,Paid,AUD
Invoice,2025-10-23,INV-2024-0004,XYZ Solutions,billing@xyzsolutions.com,2025-11-22,1118.8506495689298,111.88506495689298,1230.7357145258227,Unpaid,AUD
Invoice,2025-11-14,INV-2024-0005,XYZ Solutions,billing@xyzsolutions.com,2025-12-14,2034.2804450377578,203.42804450377577,2237.7084895415337,Partial,AUD
Invoice,2025-12-08,INV-2024-0006,XYZ Solutions,billing@xyzsolutions.com,2026-01-07,3382.1525181680454,338.21525181680454,3720.36776998485,Partial,AUD
Invoice,2025-11-10,INV-2024-0007,ABC Technologies,accounts@abctech.com,2025-12-10,4446.276409474543,444.6276409474543,4890.904050421997,Paid,AUD
Invoice,2025-12-29,INV-2024-0008,ABC Technologies,accounts@abctech.com,2026-01-28,4824.50837099178,482.450837099178,5306.959208090958,Partial,AUD
Invoice,2025-11-26,INV-2024-0009,Global Traders Inc,finance@globaltraders.com,2025-12-26,3907.7120574124638,390.7712057412464,4298.48326315371,Paid,AUD
Invoice,2025-12-02,INV-2024-0010,Global Traders Inc,finance@globaltraders.com,2026-01-01,8715.171773319915,871.5171773319915,9586.688950651907,Unpaid,AUD
