Type,Date,Invoice No,Customer,Customer Email,Due Date,Amount,Tax,Total,Status,Currency
Invoice,2024-03-03,INV-2024-0001,Global Traders Inc,finance@globaltraders.com,2024-04-02,6084.754388358169,608.4754388358169,6693.229827193986,Paid,AUD
Invoice,2024-02-16,INV-2024-0002,ABC Technologies,accounts@abctech.com,2024-03-17,8805.082392886832,880.5082392886832,9685.590632175516,Paid,AUD
Invoice,2024-03-26,INV-2024-0003,XYZ Solutions,billing@xyzsolutions.com,2024-04-25,2708.072784175506,270.8072784175506,2978.8800625930567,Paid,AUD
Invoice,2018-11-30,INV-2024-0004,Global Traders Inc,finance@globaltraders.com,2018-12-30,3748.7747978436805,374.87747978436806,4123.652277628049,Unpaid,AUD
Invoice,2019-06-02,INV-2024-0005,ABC Technologies,accounts@abctech.com,2019-07-02,8516.190035089614,851.6190035089614,9367.809038598576,Partial,AUD
Invoice,2021-12-17,INV-2024-0006,Global Traders Inc,finance@globaltraders.com,2022-01-16,2457.110409279333,245.7110409279333,2702.8214502072665,Paid,AUD
Invoice,2019-03-02,INV-2024-0007,XYZ Solutions,billing@xyzsolutions.com,2019-04-01,7046.573650505672,704.6573650505673,7751.231015556239,Partial,AUD
Invoice,2022-11-23,INV-2024-0008,ABC Technologies,accounts@abctech.com,2022-12-23,3047.7156275065945,304.7715627506594,3352.487190257254,Partial,AUD
Invoice,2018-06-26,INV-2024-0009,XYZ Solutions,billing@xyzsolutions.com,2018-07-26,3660.266531932317,366.0266531932317,4026.293185125549,Partial,AUD
Invoice,2018-05-23,INV-2024-0010,ABC Technologies,accounts@abctech.com,2018-06-22,9726.436165126912,972.6436165126912,10699.079781639603,Partial,AUD
